書名,発売日,著者名,型番,ページ数,定価,ISBN,ページURL
ポケットリファレンスシリーズ［改訂第3版］Windowsコマンドプロンプトポケットリファレンス［下］,2023年8月26日紙版発売2023年8月26日電子版発売,山近慶一　著,四六判,544ページ,"定価3,520円（本体3,200円＋税10%）",978-4-297-13725-0,https://gihyo.jp/book/2023/978-4-297-13725-0
WEB+DB PRESS Vol.136,2023年8月25日紙版発売2023年8月25日電子版発売,,B5判,152ページ,"定価1,628円（本体1,480円＋税10%）",978-4-297-13610-9,https://gihyo.jp/magazine/wdpress/archive/2023/vol136
今すぐ使えるかんたんシリーズ今すぐ使えるかんたんWindows 11 完全ガイドブック 困った解決＆便利技［改訂新版］,2023年8月25日紙版発売2023年8月25日電子版発売,リブロワークス　著,B5変形判,368ページ,"定価1,628円（本体1,480円＋税10%）",978-4-297-13623-9,https://gihyo.jp/book/2023/978-4-297-13623-9
今すぐ使えるかんたんシリーズ今すぐ使えるかんたんぜったいデキます! スマートフォン超入門 Android対応版［改訂第4版］,2023年8月25日紙版発売2023年8月25日電子版発売,リンクアップ　著,B5変形判,288ページ,"定価1,408円（本体1,280円＋税10%）",978-4-297-13621-5,https://gihyo.jp/book/2023/978-4-297-13621-5
Excelで“時短”システム構築術――案件管理の効率化を簡単に実現しよう！,2023年8月23日紙版発売2023年8月23日電子版発売,佐藤嘉浩　著,A5判,344ページ,"定価2,992円（本体2,720円＋税10%）",978-4-297-13617-8,https://gihyo.jp/book/2023/978-4-297-13617-8
今すぐ使えるかんたんシリーズ今すぐ使えるかんたんInDesign やさしい入門,2023年8月23日紙版発売2023年8月23日電子版発売,まきのゆみ　著,B5変形判,304ページ,"定価3,080円（本体2,800円＋税10%）",978-4-297-13629-1,https://gihyo.jp/book/2023/978-4-297-13629-1
大きな字でわかりやすいシリーズ大きな字でわかりやすいLINEライン入門［改訂新版］,2023年8月23日紙版発売2023年8月23日電子版発売,岩間麻帆　著,A4変形判,192ページ,"定価1,430円（本体1,300円＋税10%）",978-4-297-13619-2,https://gihyo.jp/book/2023/978-4-297-13619-2
Software Design 2023年9月号,2023年8月18日紙版発売2023年8月18日電子版発売,,B5判,184ページ,"定価1,562円（本体1,420円＋税10%）",,https://gihyo.jp/magazine/SD/archive/2023/202309
2023年版　電気通信工事施工管理技士　突破攻略　1級2級 第2次検定,2023年8月12日紙版発売,高橋英樹　著,B5判,192ページ,"定価2,948円（本体2,680円＋税10%）",978-4-297-13467-9,https://gihyo.jp/book/2023/978-4-297-13467-9
ゼロからはじめるシリーズゼロからはじめるドコモ Xperia 1 V SO-51D スマートガイド,2023年8月7日紙版発売2023年8月7日電子版発売,技術評論社編集部　著,四六判,192ページ,"定価1,738円（本体1,580円＋税10%）",978-4-297-13681-9,https://gihyo.jp/book/2023/978-4-297-13681-9
高校数学からのギャップを埋める 大学数学入門,2023年8月7日紙版発売2023年8月7日電子版発売,蔵本貴文　著,A5判,240ページ,"定価2,640円（本体2,400円＋税10%）",978-4-297-13605-5,https://gihyo.jp/book/2023/978-4-297-13605-5
情報処理技術者試験シリーズ［改訂3版］要点・用語早わかり 基本情報技術者 ポケット攻略本,2023年8月4日紙版発売2023年8月4日電子版発売,福嶋宏訓　著,B6判,352ページ,"定価1,540円（本体1,400円＋税10%）",978-4-297-13647-5,https://gihyo.jp/book/2023/978-4-297-13647-5
ゼロからはじめるシリーズゼロからはじめるGoogle Pixel 7a スマートガイド,2023年8月3日紙版発売2023年8月3日電子版発売,技術評論社編集部　著,四六判,192ページ,"定価1,738円（本体1,580円＋税10%）",978-4-297-13687-1,https://gihyo.jp/book/2023/978-4-297-13687-1
今すぐ使えるかんたんminiシリーズ今すぐ使えるかんたんminiNikon ニコン Z 30 基本＆応用 撮影ガイド,2023年8月2日紙版発売2023年8月2日電子版発売,上田晃司，ナイスク　著,B6変形判,192ページ,"定価1,760円（本体1,600円＋税10%）",978-4-297-13627-7,https://gihyo.jp/book/2023/978-4-297-13627-7
Excel 集計・抽出テクニック大全集［改訂新版］,2023年7月31日紙版発売2023年7月31日電子版発売,不二桜　著,B5変形判,608ページ,"定価3,520円（本体3,200円＋税10%）",978-4-297-13631-4,https://gihyo.jp/book/2023/978-4-297-13631-4
ゼロからはじめるシリーズゼロからはじめるGalaxy A54 5G スマートガイド［ドコモ／au／UQ mobile対応版］,2023年7月29日紙版発売2023年7月29日電子版発売,技術評論社編集部　著,四六判,192ページ,"定価1,738円（本体1,580円＋税10%）",978-4-297-13669-7,https://gihyo.jp/book/2023/978-4-297-13669-7
大規模言語モデル入門,2023年7月29日紙版発売2023年7月29日電子版発売,山田育矢　監修／著，鈴木正敏，山田康輔，李凌寒　著,B5変形判,336ページ,"定価3,520円（本体3,200円＋税10%）",978-4-297-13633-8,https://gihyo.jp/book/2023/978-4-297-13633-8
自分で選べるパソコン到達点シリーズこれからはじめる エクセルの本［Office 2021/2019/Microsoft 365対応版］,2023年7月27日紙版発売2023年7月27日電子版発売,井上香緒里　著,A4変形判,160ページ,"定価1,760円（本体1,600円＋税10%）",978-4-297-13603-1,https://gihyo.jp/book/2023/978-4-297-13603-1
問題地図シリーズコミュニケーションの問題地図～「で、どこから変える？」意識バラバラ、情報共有できない職場～,2023年7月27日紙版発売2023年7月27日電子版発売,沢渡あまね　著,四六判,256ページ,"定価1,760円（本体1,600円＋税10%）",978-4-297-13595-9,https://gihyo.jp/book/2023/978-4-297-13595-9
Software Design plusシリーズ基礎から学ぶコンテナセキュリティ――Dockerを通して理解するコンテナの攻撃例と対策,2023年7月27日紙版発売2023年7月27日電子版発売,森田浩平　著,B5変形判,224ページ,"定価3,080円（本体2,800円＋税10%）",978-4-297-13635-2,https://gihyo.jp/book/2023/978-4-297-13635-2
AWS設計スキルアップガイド――サービスの選定から、システム構成、運用・移行の設計まで,2023年7月26日紙版発売2023年7月26日電子版発売,株式会社BFT　監修，佐野夕弥，相馬昌泰，富岡秀明，中野祐輔，山口杏奈　著,A5判,304ページ,"定価3,190円（本体2,900円＋税10%）",978-4-297-13649-9,https://gihyo.jp/book/2023/978-4-297-13649-9
エックス線作業主任者 合格教本 第2版,2023年7月26日紙版発売2023年7月26日電子版発売,奥田真史　著,A5判,344ページ,"定価3,278円（本体2,980円＋税10%）",978-4-297-13637-6,https://gihyo.jp/book/2023/978-4-297-13637-6
海外旅行のためのスマホ快適ナビ,2023年7月26日紙版発売2023年7月26日電子版発売,リンクアップ　著,A4変形判,128ページ,"定価1,650円（本体1,500円＋税10%）",978-4-297-13591-1,https://gihyo.jp/book/2023/978-4-297-13591-1
今すぐ使えるかんたんExシリーズ今すぐ使えるかんたんExSurface プロ技BESTセレクション,2023年7月24日紙版発売2023年7月24日電子版発売,鈴木隆史　著,A5判,288ページ,"定価2,200円（本体2,000円＋税10%）",978-4-297-13589-8,https://gihyo.jp/book/2023/978-4-297-13589-8
今日からはじめる Procreate イラスト入門,2023年7月24日紙版発売2023年7月24日電子版発売,s!on　著,B5判,208ページ,"定価2,200円（本体2,000円＋税10%）",978-4-297-13597-3,https://gihyo.jp/book/2023/978-4-297-13597-3
生物ミステリー（生物ミステリー プロ）シリーズ地球生命　無脊椎の興亡史,2023年7月24日紙版発売,土屋健　著，田中源吾，栗原憲一，椎野勇太，中島礼，大山望　監修，かわさきしゅんいち　イラスト,A5判,288ページ,"定価3,960円（本体3,600円＋税10%）",978-4-297-13612-3,https://gihyo.jp/book/2023/978-4-297-13612-3
これからはじめる「情報」の基礎＜プログラミングとアルゴリズム＞,2023年7月22日紙版発売2023年7月22日電子版発売,谷尻かおり　著，谷尻豊寿　監修,B5変形判,240ページ,"定価2,640円（本体2,400円＋税10%）",978-4-297-13645-1,https://gihyo.jp/book/2023/978-4-297-13645-1
生物ミステリー（生物ミステリー プロ）シリーズ蜂の奇妙な生物学,2023年7月22日紙版発売2023年7月22日電子版発売,光畑雅宏　著，coco　絵,A5判,272ページ,"定価2,640円（本体2,400円＋税10%）",978-4-297-13587-4,https://gihyo.jp/book/2023/978-4-297-13587-4
プロフェッショナルゲームプランナー―ゲームづくりの現場の教科書,2023年7月21日紙版発売2023年7月21日電子版発売,藤井厚志　著,A5判,592ページ,"定価3,740円（本体3,400円＋税10%）",978-4-297-13575-1,https://gihyo.jp/book/2023/978-4-297-13575-1
デジタルリスキリング入門――時代を超えて学び続けるための戦略と実践,2023年7月20日紙版発売2023年7月20日電子版発売,高橋宣成　著,四六判,392ページ,"定価2,200円（本体2,000円＋税10%）",978-4-297-13525-6,https://gihyo.jp/book/2023/978-4-297-13525-6
Software Design 2023年8月号,2023年7月18日紙版発売2023年7月18日電子版発売,,B5判,184ページ,"定価1,562円（本体1,420円＋税10%）",,https://gihyo.jp/magazine/SD/archive/2023/202308
60分でわかる！シリーズ60分でわかる！デジタル本人確認＆KYC 超入門,2023年7月15日紙版発売2023年7月15日電子版発売,神谷英亮，笠原基和，中村竜人，渡辺良光　著,四六判,152ページ,"定価1,430円（本体1,300円＋税10%）",978-4-297-13593-5,https://gihyo.jp/book/2023/978-4-297-13593-5
Microsoft Power Apps ローコード開発［実践］入門――ノンプログラマーにやさしいアプリ開発の手引きとリファレンス,2023年7月15日紙版発売2023年7月15日電子版発売,青井航平，荒井隆徳，佐藤晴輝，萩原広揮　著，春原朋幸，曽我拓司　監修,A5判,320ページ,"定価2,992円（本体2,720円＋税10%）",978-4-297-13567-6,https://gihyo.jp/book/2023/978-4-297-13567-6
ソフトウェア開発にChatGPTは使えるのか？――設計からコーディングまでAIの限界を探る,2023年7月12日紙版発売2023年7月12日電子版発売,小野哲　著,B5変形判,336ページ,"定価3,520円（本体3,200円＋税10%）",978-4-297-13615-4,https://gihyo.jp/book/2023/978-4-297-13615-4
Software Design plusシリーズプロになるためのSpring入門――ゼロからの開発力養成講座,2023年7月12日紙版発売2023年7月12日電子版発売,土岐孝平　著,B5変形判,384ページ,"定価3,960円（本体3,600円＋税10%）",978-4-297-13613-0,https://gihyo.jp/book/2023/978-4-297-13613-0
ゼロからはじめるシリーズゼロからはじめるOneNote 基本&便利技［改訂最新版］,2023年7月8日紙版発売2023年7月8日電子版発売,リンクアップ　著,四六判,256ページ,"定価1,320円（本体1,200円＋税10%）",978-4-297-13585-0,https://gihyo.jp/book/2023/978-4-297-13585-0
ゼロからはじめる なるほど！ ChatGPT活用術～仕事の効率が劇的に変わるAI使いこなしのヒント,2023年7月3日紙版発売2023年7月3日電子版発売,マイカ　著,四六判,160ページ,"定価1,540円（本体1,400円＋税10%）",978-4-297-13601-7,https://gihyo.jp/book/2023/978-4-297-13601-7
今すぐ使えるかんたんbizシリーズ今すぐ使えるかんたんbizPython×Excel自動処理 ビジネス活用大全,2023年6月29日紙版発売2023年6月29日電子版発売,土屋和人　著,A5判,352ページ,"定価2,640円（本体2,400円＋税10%）",978-4-297-13583-6,https://gihyo.jp/book/2023/978-4-297-13583-6
図解即戦力シリーズ図解即戦力保険業界のしくみとビジネスがこれ1冊でしっかりわかる教科書［改訂2版］,2023年6月29日紙版発売2023年6月29日電子版発売,GVフィナンシャル研究会　著，平野敦之　監修,A5判,256ページ,"定価1,760円（本体1,600円＋税10%）",978-4-297-13599-7,https://gihyo.jp/book/2023/978-4-297-13599-7
WEB+DB PRESS plusシリーズ毎日使える！ Visual Studio Code──実践的な操作、言語ごとの開発環境、拡張機能開発,2023年6月29日紙版発売2023年6月29日電子版発売,上田裕己　著,A5判,240ページ,"定価2,860円（本体2,600円＋税10%）",978-4-297-13569-0,https://gihyo.jp/book/2023/978-4-297-13569-0
ずかんシリーズ自転車,2023年6月28日紙版発売2023年6月28日電子版発売,自転車文化センター　監修，森下昌市郎　著,B5判,128ページ,"定価2,948円（本体2,680円＋税10%）",978-4-297-13581-2,https://gihyo.jp/book/2023/978-4-297-13581-2
［カラー図解］ 海底探検の科学,2023年6月28日紙版発売,後藤忠徳　著,B5判,112ページ,"定価2,640円（本体2,400円＋税10%）",978-4-297-13607-9,https://gihyo.jp/book/2023/978-4-297-13607-9
60分でわかる！シリーズ60分でわかる！電帳法＆経理DX 超入門,2023年6月26日紙版発売2023年6月26日電子版発売,土屋裕昭，大沢大作　著,四六判,136ページ,"定価1,430円（本体1,300円＋税10%）",978-4-297-13579-9,https://gihyo.jp/book/2023/978-4-297-13579-9
情報処理技術者試験シリーズ令和05年【下期】基本情報技術者 パーフェクトラーニング過去問題集,2023年6月26日紙版発売2023年6月26日電子版発売,山本三雄　著,B5判,400ページ,"定価1,496円（本体1,360円＋税10%）",978-4-297-13523-2,https://gihyo.jp/book/2023/978-4-297-13523-2
パーフェクトガイドシリーズGIMP パーフェクトガイド,2023年6月24日紙版発売2023年6月24日電子版発売,広田正康　著,B5判,352ページ,"定価2,860円（本体2,600円＋税10%）",978-4-297-13549-2,https://gihyo.jp/book/2023/978-4-297-13549-2
知識地図シリーズKubernetesの知識地図現場での基礎から本番運用まで,2023年6月24日紙版発売2023年6月24日電子版発売,青山真也，小竹智士，長谷川誠，川部勝也，岩井佑樹，杉浦智基　著,A5判,304ページ,"定価2,970円（本体2,700円＋税10%）",978-4-297-13573-7,https://gihyo.jp/book/2023/978-4-297-13573-7
WEB+DB PRESS Vol.135,2023年6月24日紙版発売2023年6月24日電子版発売,,B5判,152ページ,"定価1,628円（本体1,480円＋税10%）",978-4-297-13571-3,https://gihyo.jp/magazine/wdpress/archive/2023/vol135
デジタルイラスト 「塗り」の教科書［CLIP STUDIO PAINT PRO/EX/iPad対応］,2023年6月24日紙版発売2023年6月24日電子版発売,サイドランチ　著,B5判,192ページ,"定価2,596円（本体2,360円＋税10%）",978-4-297-13561-4,https://gihyo.jp/book/2023/978-4-297-13561-4
YouTubeライブ配信大全［OBS Studio対応版］,2023年6月23日紙版発売2023年6月23日電子版発売,リンクアップ　著，株式会社アバンク　監修,A5判,288ページ,"定価2,420円（本体2,200円＋税10%）",978-4-297-13555-3,https://gihyo.jp/book/2023/978-4-297-13555-3
Webデザイナー養成講座シリーズ【改訂第3版】WordPress 仕事の現場でサッと使える！ デザイン教科書［WordPress 6.x対応版］,2023年6月23日紙版発売2023年6月23日電子版発売,中島真洋　著，ロクナナワークショップ　監修,B5判,400ページ,"定価3,300円（本体3,000円＋税10%）",978-4-297-13577-5,https://gihyo.jp/book/2023/978-4-297-13577-5
これならわかる! Googleアナリティクス4 アクセス解析超入門,2023年6月23日紙版発売2023年6月23日電子版発売,志鎌真奈美　著,A5判,208ページ,"定価2,200円（本体2,000円＋税10%）",978-4-297-13493-8,https://gihyo.jp/book/2023/978-4-297-13493-8
COMODO（COMODO ライフブック）シリーズレシート探訪 1枚にみる小さな生活史,2023年6月23日紙版発売2023年6月23日電子版発売,藤沢あかり　著,四六判,256ページ,"定価1,760円（本体1,600円＋税10%）",978-4-297-13531-7,https://gihyo.jp/book/2023/978-4-297-13531-7
図解即戦力シリーズ図解即戦力ISO27001:2022の規格と審査がこれ1冊でしっかりわかる教科書,2023年6月22日紙版発売2023年6月22日電子版発売,株式会社テクノソフト コンサルタント　岡田敏靖,A5判,304ページ,"定価2,420円（本体2,200円＋税10%）",978-4-297-13541-6,https://gihyo.jp/book/2023/978-4-297-13541-6
情報処理技術者試験シリーズ令和05年【秋期】応用情報技術者 パーフェクトラーニング過去問題集,2023年6月21日紙版発売2023年6月21日電子版発売,加藤昭，高見澤秀幸，矢野龍王　著,B5判,480ページ,"定価2,090円（本体1,900円＋税10%）",978-4-297-13521-8,https://gihyo.jp/book/2023/978-4-297-13521-8
図解即戦力シリーズ図解即戦力金融業界のしくみとビジネスがこれ1冊でしっかりわかる教科書［改訂2版］,2023年6月21日紙版発売2023年6月21日電子版発売,伊藤亮太　著,A5判,244ページ,"定価1,760円（本体1,600円＋税10%）",978-4-297-13529-4,https://gihyo.jp/book/2023/978-4-297-13529-4
Software Design 2023年7月号,2023年6月16日紙版発売2023年6月16日電子版発売,,B5判,184ページ,"定価1,562円（本体1,420円＋税10%）",,https://gihyo.jp/magazine/SD/archive/2023/202307
