書名,著者名,定価,詳細ページURL
"ポケットリファレンスシリーズ
［改訂第3版］Windowsコマンドプロンプトポケットリファレンス［上］",山近慶一　著,"定価3,520円（本体3,200円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13723-6
"ポケットリファレンスシリーズ
［改訂第3版］Windowsコマンドプロンプトポケットリファレンス［下］",山近慶一　著,"定価3,520円（本体3,200円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13725-0
WEB+DB PRESS Vol.136,,"定価1,628円（本体1,480円＋税10%）",https://gihyo.jp/magazine/wdpress/archive/2023/vol136
"今すぐ使えるかんたんシリーズ
今すぐ使えるかんたんWindows 11 完全ガイドブック 困った解決＆便利技［改訂新版］",リブロワークス　著,"定価1,628円（本体1,480円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13623-9
"今すぐ使えるかんたんシリーズ
今すぐ使えるかんたんぜったいデキます! スマートフォン超入門 Android対応版［改訂第4版］",リンクアップ　著,"定価1,408円（本体1,280円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13621-5
Excelで“時短”システム構築術――案件管理の効率化を簡単に実現しよう！,佐藤嘉浩　著,"定価2,992円（本体2,720円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13617-8
"今すぐ使えるかんたんシリーズ
今すぐ使えるかんたんInDesign やさしい入門",まきのゆみ　著,"定価3,080円（本体2,800円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13629-1
"大きな字でわかりやすいシリーズ
大きな字でわかりやすいLINEライン入門［改訂新版］",岩間麻帆　著,"定価1,430円（本体1,300円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13619-2
Software Design 2023年9月号,,"定価1,562円（本体1,420円＋税10%）",https://gihyo.jp/magazine/SD/archive/2023/202309
2023年版　電気通信工事施工管理技士　突破攻略　1級2級 第2次検定,高橋英樹　著,"定価2,948円（本体2,680円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13467-9
"ゼロからはじめるシリーズ
ゼロからはじめるドコモ Xperia 1 V SO-51D スマートガイド",技術評論社編集部　著,"定価1,738円（本体1,580円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13681-9
高校数学からのギャップを埋める 大学数学入門,蔵本貴文　著,"定価2,640円（本体2,400円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13605-5
"情報処理技術者試験シリーズ
［改訂3版］要点・用語早わかり 基本情報技術者 ポケット攻略本",福嶋宏訓　著,"定価1,540円（本体1,400円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13647-5
"ゼロからはじめるシリーズ
ゼロからはじめるGoogle Pixel 7a スマートガイド",技術評論社編集部　著,"定価1,738円（本体1,580円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13687-1
"今すぐ使えるかんたんminiシリーズ
今すぐ使えるかんたんminiNikon ニコン Z 30 基本＆応用 撮影ガイド",上田晃司，ナイスク　著,"定価1,760円（本体1,600円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13627-7
Excel 集計・抽出テクニック大全集［改訂新版］,不二桜　著,"定価3,520円（本体3,200円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13631-4
"ゼロからはじめるシリーズ
ゼロからはじめるGalaxy A54 5G スマートガイド［ドコモ／au／UQ mobile対応版］",技術評論社編集部　著,"定価1,738円（本体1,580円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13669-7
大規模言語モデル入門,山田育矢　監修／著，鈴木正敏，山田康輔，李凌寒　著,"定価3,520円（本体3,200円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13633-8
"自分で選べるパソコン到達点シリーズ
これからはじめる エクセルの本［Office 2021/2019/Microsoft 365対応版］",井上香緒里　著,"定価1,760円（本体1,600円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13603-1
"問題地図シリーズ
コミュニケーションの問題地図～「で、どこから変える？」意識バラバラ、情報共有できない職場～",沢渡あまね　著,"定価1,760円（本体1,600円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13595-9
